grid,velocity,T,density,X_H,X_H2,X_O,X_O2,X_H2O,X_OH,X_H2O2,X_HO2,X_AR,X_N2
0.027920898437500005,3.0843302590482202,408.7023739369461,0.6419825763837351,0.000164271154263684,0.27028142924509563,1.0158300412607176e-05,0.15043139283233292,0.005101690687487243,0.00025407956118653153,9.862519453826034e-05,0.00028616617241570164,0.0,0.5733721868522673
0.027921875000000006,3.1114889237160472,412.5003427404572,0.6363790245321584,0.00018088087681016412,0.26975353813429087,1.0910725492111232e-05,0.15039250002834414,0.0053559570939818,0.0002724402726212555,0.00010275213150273106,0.0002881692423775663,0.0,0.5736428514945794
0.027922851562500003,3.1392302555181852,416.3798481389225,0.6307553524070381,0.00019886060956582357,0.2692182019247444,1.1710466191213572e-05,0.1503495979731574,0.005619161014989472,0.00029160670543465885,0.00010698167918953598,0.0002897232584246344,0.0,0.573914156368303
0.027923828125000005,3.1675429054088844,420.3394443500854,0.6251174317823889,0.0002182871566737524,0.2686754595662405,1.255940909573941e-05,0.15030261713637863,0.005891364812869523,0.0003115543834112567,0.00011131098202407502,0.0002908344974264074,0.0,0.5741860120558802
0.027924804687500006,3.1964145277421947,424.3775506999918,0.6194710569865631,0.00023923799426312618,0.26812535332530674,1.3459441604000193e-05,0.15025149550193864,0.006172620421190895,0.0003322526498758947,0.00011573648510630066,0.0002915123486773573,0.0,0.574458331832037
0.027925781250000004,3.2258318484321933,428.49246046432876,0.6138219160439351,0.0002617909533309593,0.26756792865362367,1.4412453027793651e-05,0.1501961789332576,0.006462969554738465,0.00035366478460445336,0.00012025389991204677,0.0002917690168394609,0.0,0.5747310317506655
0.027926757812500005,3.255780737370722,432.6823502906681,0.6081755639375498,0.0002860238938591136,0.2670032340554543,1.5420337193858035e-05,0.15013662147000828,0.006762443950183265,0.0003757482127598532,0.0001248581799769592,0.00029161919255039415,0.0,0.575004030708014
0.027927734375000006,3.2862462841157396,436.9452900720861,0.602537398228626,0.0003120143739885557,0.2664313209541091,1.6484996654388173e-05,0.15007278554937156,0.007071065630820773,0.00039845480224417335,0.0001295435076239127,0.0002910797007134707,0.0,0.575277250484474
0.027928710937500004,3.3172128758957027,441.27925314677304,0.5969126372066785,0.00033983931814574427,0.26585224355726134,1.760834858998151e-05,0.15000464214645676,0.007388847189974978,0.00042173124367098975,0.00013430329248182186,0.00029016913614438353,0.0,0.5755506157672742
0.027929687500000005,3.3486642770250126,445.68212670442335,0.5913063006837387,0.0003695746879922428,0.26526605872077724,1.8792332460417573e-05,0.1499321708306098,0.007715792088928679,0.0004455195052538397,0.00013913018220702906,0.00028890749548891783,0.0,0.5758240541562817
